,translation
4200,"{'en': 'I thought the whole Scare Games plot was a fairly good one too, kept it interesting.', 'hi_en': 'mery khyal k mutabiq tamam khofnak game ka plot kafi achaa bhi tha, bht dilchasp rakha'}"
4201,"{'en': ""I agree, I like that they didn't try to make them perfect. "", 'hi_en': 'mai manta hun, mjhy acha laga k unhun ne unko oerfect banany ki koshish nai ki'}"
4202,"{'en': 'Yes! And so much was at stake for them in that game as well', 'hi_en': 'Han, aur unky lia bht kuch us game mai dao per bhi laga hua tha'}"
4203,"{'en': 'It would decide if they could be renerolled or not. How do you feel about how Sully cheated?', 'hi_en': 'ye faisla krega k kia wo reenrolled ho skty hain ya nai. apko kaisa laga k sully ne kaisy cheat kia'}"
4204,"{'en': 'I thought it was delaying the inevitable and giving them a false sense of accomplishment.', 'hi_en': 'mery mutabiq ye anhooni ko sirf delay ker rha tha aur unhy accomplishment ki aik jhooti tasalli de rha tha'}"
4205,"{'en': 'I agree, I felt bad for Mike who thought he succeeded on his own terms but instead was helped to win', 'hi_en': 'mai manta hun, mjhy Mike k lia bura laga jo soch rha tha k wo khud se kamyaab hua jabky usy jeetny mai madad di gaye'}"
4206,"{'en': 'I thought it was ironic too since they only get eliminated from the first challenge because another team was diqualified for cheating.', 'hi_en': 'mery khyal tha k ye ironic bhi hai qk unhy phly muqabbly mai sirf is lia nikala gaya q k dusri team ko cheating kerny per disqualify kia gaya'}"
4207,"{'en': 'Yes I agree. It ended up causing them to become expelled from the university as well', 'hi_en': 'han ge mai manta hun. iska khatma unhy university se nikalny per he hua'}"
4208,"{'en': 'I feel like they sacrificed themselves for the rest of the fraternity to get accepted though.', 'hi_en': 'mjhy lagta ha k unhun ne baki tamam logon k accept hony ki waja se apni qurbani di hai'}"
4209,"{'en': 'I agree and I think that it was a noble thing to do. At least they still were able to be hired at Monsters, Inc. and work their way up to becoming scarers.', 'hi_en': 'mai manta hun aur mera khyal hai k ik acha kaam tha krny ko.kam az kam wo Monsters, Inc mai hire hony k qabil thy aur apny apko scarer banany tak phncha skty thy'}"
4210,"{'en': ""Yeah, guess it shows that you don't need education sometime! Haha."", 'hi_en': 'Han, guess ye dikhata hai ki sometimes tumhe education nahi chahiye! haha'}"
4211,"{'en': ""Exactly, sometimes all that's needed is preservation  and hardwork!"", 'hi_en': 'Exactly, kabhi kabhi sirf preservation aur hardwork hi needed hota hai!'}"
4212,"{'en': ""At least they didn't get in a lot of trouble with the CDA"", 'hi_en': 'kam se kam ye CDA ke saath zyada trouble mein nahi pade'}"
4213,"{'en': 'Yeah I was taken aback when Hardscrabble said they were the first students to surprise her.', 'hi_en': 'han I was taken aback jab Hardscrabble ne bola wo usey surprise karne wale first students they'}"
4214,"{'en': ""I agree, I thought they weren't too special. All in all it was a great movie!"", 'hi_en': 'I agree, mujhe laga ye zyada special nahi tha. All in all ye great movie thi!'}"
4215,"{'en': ""Hey! How's it going?"", 'hi_en': 'hey kya haal chaal hein?'}"
4216,"{'en': 'How did you like Iron Man?', 'hi_en': 'are iron man ko kaise pasand aaya?'}"
4217,"{'en': 'Hi! I like the movie', 'hi_en': 'hi.. muje is movie ko pasand hein'}"
4218,"{'en': 'Did you like it?', 'hi_en': 'kya aapko'}"
4219,"{'en': 'I thought it was fun too.', 'hi_en': 'haan thoda fun bhi hein yar'}"
4220,"{'en': 'What was your favorite character?', 'hi_en': 'tumhara favorite character kon tha?'}"
4221,"{'en': 'Ofcourse it is Tony', 'hi_en': 'nishchit roop se wo Tony hai'}"
4222,"{'en': ""He's hard to beat I must admit."", 'hi_en': 'Use harana mushkil hai main ye manta hun.'}"
4223,"{'en': 'What was your favorite character ?', 'hi_en': 'tumhara favorite character kon tha?'}"
4224,"{'en': 'Probably Tony as well - he cracks me up with his deadpan humor.', 'hi_en': 'Probably tony bhi bahut accha hai - usne mujhe apne deadpan humar se crack kar diya'}"
4225,"{'en': ""I actually think it's the humor that helps the movie work out."", 'hi_en': 'mujhe actually lagta hai ki wo humor hi tha jis se movie ko work out karne me help mili'}"
4226,"{'en': 'Yes he has very good humor and acts with ease', 'hi_en': 'Han uske pass bahut accha humor hai aur wo bahut ease se work karta hai'}"
4227,"{'en': 'What element of the movie did you prefer, besides the humor?', 'hi_en': 'Humor ke alawa, tum movie ka kon sa element prefer karoge?'}"
4228,"{'en': 'Action sequences. I like the second movie out of all three parts', 'hi_en': 'Action sequences, mujhe teeno parts me se second movie pasand aayi'}"
4229,"{'en': 'First movie looks more like a documentary/war', 'hi_en': 'Pehli movie bahut had tak documentary/war jaisi pratit hui'}"
4230,"{'en': 'Yeah, the action sequence are pretty good. Love the flying suit!', 'hi_en': 'han, action sequence kafi ache hai. love udne wala suit.'}"
4231,"{'en': 'Right. But it was a good way to establish the back story.', 'hi_en': 'sahi. par yeh pichli story establish krne ka acha tarika tha'}"
4232,"{'en': 'second part is my favorite with all sports cars in action, upgraded suit', 'hi_en': 'dusra part mera pasandida hai jisme sports cars aciton mai hai, upgraded suit hai'}"
4233,"{'en': 'yeah ', 'hi_en': 'han'}"
4234,"{'en': 'I know! All those shiny toys.', 'hi_en': 'muje pata hai! sab chamkne wale khilono k bare mai.'}"
4235,"{'en': 'Usually, I', 'hi_en': 'jaydatar, mai'}"
4236,"{'en': 'm not that big on gadgets like that, but t hey really make it work.', 'hi_en': 'mai uss tarah k gadgets par utna bda nai hu, par yeah sach mai kam karta hai.'}"
4237,"{'en': ""I think it's the sort of aesthetics they went for that works for me."", 'hi_en': 'mujhe lagta hai jo mere liye kam karte hain woh aesthetics ki tarah hai'}"
4238,"{'en': 'are you expecting another part?', 'hi_en': 'kya tumhe lagta hai dusra part aye ga?'}"
4239,"{'en': 'sequel', 'hi_en': 'parinam'}"
4240,"{'en': 'Probably. They made so much money with those movies, why would they stop?', 'hi_en': 'Shayad. Unhone un movies se kafi paise bana liye, ve kyun rukenge?'}"
4241,"{'en': 'I think they made a billion dollars with those movies', 'hi_en': 'Mujhe lagta hai unhone un movies se bees billion dollars bana liye'}"
4242,"{'en': 'yeah.', 'hi_en': 'haan.'}"
4243,"{'en': 'What do you think of the flirt/love sub story with Gwyneth Paltrow?', 'hi_en': 'Tum Gwyneth Paltrow ke sath flirt/love sub story ka kya sochte ho?'}"
4244,"{'en': ""Honestly I don't remember that one..remind me where exactly it happened"", 'hi_en': 'Sach mein mujhe veh yaad nahi..mujhe yaad karwao yeh kahan hui thi'}"
4245,"{'en': 'I think toward the end. I thought it was unnecessary.', 'hi_en': 'Main sachti hu ant ki taraf. Mujhe lagta hai yeh jaroori nahi.'}"
4246,"{'en': 'But you can see the love story coming from the start.', 'hi_en': 'Lekin tum us prem kahani ko dekh sakte ho jo shuru se shuru hui.'}"
4247,"{'en': 'I find it annoying when they feel they have to add love stories to everything.', 'hi_en': 'Jab unko lagta hai ki unhe har cheez mein prem kahani daal deni chaiye tab mujhe chid hoti hai.'}"
4248,"{'en': 'But her character still works besides the flirting.', 'hi_en': 'Par uska charitra flirting ke baad bhi chalega.'}"
4249,"{'en': ""See that's why I only remember war thing"", 'hi_en': 'Dekho isilye mujhe sirf ladai ki cheeze yaad hai'}"
4250,"{'en': ""I know - it's more fun to watch, more action-oriented."", 'hi_en': 'mujhe pata hai action-oriented dekhne me jyada mazha aata hai'}"
4251,"{'en': ""What about the technology in the movies - do you like the way it's presented?"", 'hi_en': 'movies ke technology ke baare mein kya - kya tumhe pasand hai jis tarah se woh present kiye jate hai?'}"
4252,"{'en': 'I loved the electro magnet in his heart.', 'hi_en': 'mujhe uske dil pe lagi electro magnet se pyaar tha'}"
4253,"{'en': 'oh by the way, I love his attitude in serious fights, humor with music', 'hi_en': 'oh waise bhi, mujhe pasand hai uska attitude serious fights mein, humor music ke saath'}"
4254,"{'en': ""I know! He's one of the best actors for super hero movies because he doesn't take himself too seriously."", 'hi_en': 'mujhe pata hai, woh super hero movies mein sabse achcha actor hai kyunki woh apne aap ko seriously nahin leeta.'}"
4255,"{'en': 'Gotta go now - fun talking with you!', 'hi_en': 'gotta go now - tumse baat karne mein mazha aaya!'}"
4256,"{'en': 'Have you seen the original Toy Story?', 'hi_en': 'kya tumne original Toy Story dekhi hai?'}"
4257,"{'en': 'I have seen all three Toy Story movies.', 'hi_en': 'maine teeno Toy Story movies dekhi hain.'}"
4258,"{'en': 'Have you seen the original?', 'hi_en': 'kya tumne original dekhi hai?'}"
4259,"{'en': ""Yes.  I can't believe the first one came out in 1995!  "", 'hi_en': 'Yes. mujhe believe nahi hota ki ye 1995 mein ayi!'}"
4260,"{'en': 'It has been a while, but they are all decent.  Toy Story 3 is, in my opinion, the best.', 'hi_en': 'ye thoda while ho gaya, par wo sab decent hai. Toy Story 3, mere opinion mein best hai.'}"
4261,"{'en': 'You should watch it again sometime. The Potato shaped doll is voiced by Don Rickles.', 'hi_en': 'tumhe isey kabhi dobara dekhne chahiye. Potato shaped doll ko Don Rickles ne voice kiya hai.'}"
4262,"{'en': 'I know.  He has recently passed.  He was Mr. Potato Head.', 'hi_en': 'I know. Wo recently mar gaya. Wo Mr. Potato Head hai.'}"
4263,"{'en': 'Do you have a favorite character. ', 'hi_en': 'kya tumhara favorite character hai.'}"
4264,"{'en': 'Tom Hanks as Woody actually makes to the doll, Woody believable as a character.', 'hi_en': 'Tom Hanks as Woody actually doll tak pahunch jaata hai, Woody as a character believable hai.'}"
4265,"{'en': 'I think Tom Hanks was wonderful.  Although I think Tim Allen deserves a lot of credit as well.', 'hi_en': 'I think Tom Hanks wonderful hain. Although mujhe lagta hai Tim Allen lot of credit deserve karta hai.'}"
4266,"{'en': 'Where do you rank the movie among Pixar movies?', 'hi_en': 'pixar movie ka rank aapko kya khayal hein?'}"
4267,"{'en': 'Did you know that Joss Whedon and Joel Cohen wrote some of the screenplay?', 'hi_en': 'joss whedon aur joel cohen ne kuch screenplay likha hein, kya aapko patha hein?'}"
4268,"{'en': ""I did not know that.  Joss Whedon is good.  I don't know Joel Cohen.  I was a big Buffy fan."", 'hi_en': 'muje nahi patha... joss whedon tho ache hein... muje joel cohen ke baare mein kuch nahi patha.. mein buffy ka badi fan hoon'}"
4269,"{'en': 'According to critics it is one of the best animated movies in recent memory with all these actors.', 'hi_en': 'critics ke anusar, yeh yek best animated movies hein,'}"
4270,"{'en': 'Yes, but what do you think about it?  Is it one of your favorites?', 'hi_en': 'acha, tho aapka kya khayal hein? aapka kya favorites?'}"
4271,"{'en': ""On rotten tomatoes it has a 100% fresh rating and Cinema Score gave it an A.  I would say that means it's pretty good."", 'hi_en': 'rotten tomatoes tho 100% fresh rating diya, cinema score ne A diya, dono pretty good hein'}"
4272,"{'en': ""I understand, but did you watch it and form your own opinion.  I mean 100% just means a lot of critics liked it more than disliked it.  It doesn't mean critics thought it was one of the best of all time, you know."", 'hi_en': 'mein samaj raha hoon, lekin mere opinion se muje dekhna pasand hein.. i mean 100% tho kahi critics like karthe honge, kuch dislike bhi karthe honge.. mein critics ke thought ko mean nahi kartha lekin muje best chahiye'}"
4273,"{'en': 'Need a human for that.', 'hi_en': 'human ko chahiye'}"
4274,"{'en': ""One of the best scenes is when Buzz is first introduced to the characters. It's pretty funny that he thinks he's an actual space ranger."", 'hi_en': 'best scene tho  jab buzz ne us characters ko introduced kiya.. pretty funny hein aur soch raha tha ki voh actual space ranger hein'}"
4275,"{'en': 'I enjoy that scene as well.  ', 'hi_en': 'mein us scene ko enjoy kiya'}"
4276,"{'en': ""Do you think it's the best Pixar movie of all time?"", 'hi_en': 'aapko lagtha hein ki yeh pixar movies ka best film hein?'}"
4277,"{'en': 'It must be the highest rated.', 'hi_en': 'yeh tho highest rated hein'}"
4278,"{'en': ""I wouldn't be surprised if Toy Story 3 is ranked higher, but I haven't checked."", 'hi_en': 'toy story ko 3 ranked mila jo higher hein, lekin mein check nahi kiya'}"
4279,"{'en': 'Which is your favorite character in the movie?', 'hi_en': 'is movie mein aapko favorite character koun hein?'}"
4280,"{'en': 'Slinky dog or Rex', 'hi_en': 'slinky dog ya rex'}"
4281,"{'en': 'There is a morality tale including in a seemingly simple story when it comes to the relationship between Buzz and Woody. Woody feels replaced and when he knocks Buzz out the window everyone thinks he is jealous for that reason.', 'hi_en': 'yeh tho morality tale hein, jo simple story.. jab relationship ke baath aaya us buzz aur woody ka... woody tho replaced huva aur buzz ko window mein knocks kiya tho sabhi jealous ho rahe the'}"
4282,"{'en': 'Disney world is going to make a roller coaster out of Slinky Dog.  Do you think that will be great?', 'hi_en': 'disney world tho slinky dog, roller coaster ke saath milaya... kya yeh great feel kartha?'}"
4283,"{'en': ""I don't know if I'd call that a morality story, but go on."", 'hi_en': 'muje nahi patha, lekin kuch morality story ke tarah hein'}"
4284,"{'en': ""Interesting. They should make one for Sid's dog, Scud too."", 'hi_en': 'interesting.. sid ka dog aur scud ke liye voh yek bana bhi sakthe'}"
4285,"{'en': ""That might work.  We're looking forward to Toy Story World."", 'hi_en': 'tho jarru work karega.. hum toy story work ke liye look kar rahe hein'}"
4286,"{'en': 'Anything else strike you as important about the movie?', 'hi_en': 'aur koi is movie ka important aapko strike aaya?'}"
4287,"{'en': 'I have not heard of TOy story world.', 'hi_en': 'mein toy story world ke baare mein kuch suna nahi hoon'}"
4288,"{'en': ""The end is funny when Andy's newest gift worries the toys."", 'hi_en': 'end tho funny hein, jab andy ko newest gift mila'}"
4289,"{'en': ""It's the world disney world is making in Hollywood Studios.  Disneyworld is divided into four parks, which are further divided into lands"", 'hi_en': 'disney world tho hollywood ka studios hein... disney world, 4 parks se divided hein, jo further unka land bhi divided hein'}"
4290,"{'en': 'Toy Story Land is an upcoming world.  (Also star wars world).   Have a wonderful night.', 'hi_en': 'toy story land tho upcoming world hein jo stars wars world ka hein..'}"
4291,"{'en': 'I see.', 'hi_en': 'acha'}"
4292,"{'en': 'You too!', 'hi_en': 'aapko bhi'}"
4293,"{'en': 'Hello. what is the movie?', 'hi_en': 'namaste. philm kya hai'}"
4294,"{'en': 'Hey, t he movie we got is The Imitation Game', 'hi_en': 'are, vah philm hamen mil gaya hai da imiteshan gem'}"
4295,"{'en': 'What is it about?', 'hi_en': 'yah kis baare mein hai?'}"
4296,"{'en': 'It is a biography of about Alan Turing, a British cryptanalyst who decrypted German intelligence codes during World War 2.', 'hi_en': 'yah elan tyooring ke baare mein ek jeevanee hai, jo ek british kriptainaalist hai jisane dviteey vishv yuddh ke dauraan jarman khuphiya kod ko dikript kiya tha.'}"
4297,"{'en': 'Who is the lead actors?', 'hi_en': 'pramukh abhineta kaun hain?'}"
4298,"{'en': 'The lead actors are Benedict Cumberbatch and Keira Knightley', 'hi_en': 'pramukh kalaakaar benedikt kambarabaich aur keira naitalee hain'}"
4299,"{'en': 'Do they successfully decrypt the code?', 'hi_en': 'kya ve kod ko saphalataapoorvak dikript karate hain?'}"
4300,"{'en': 'I am not sure if they successfully decrypt the code, I would assume so otherwise I doubt it would be as historically relevant.', 'hi_en': 'mujhe yakeen nahin hai ki agar ve saphalataapoorvak kod ko dikript karate hain, to main aisa maanoonga anyatha mujhe sandeh hai ki yah aitihaasik roop se praasangik hoga.'}"
4301,"{'en': 'Okay. What kind of movie is it? Thriller? Drama? Comedy?', 'hi_en': 'theek hai. yah kis tarah kee philm hai? thrilar? naatak? komedee?'}"
4302,"{'en': 'It is a drama', 'hi_en': 'yah ek draama hai'}"
4303,"{'en': 'Any other known actors in it?', 'hi_en': 'isamen koee any gyaat abhineta?'}"
4304,"{'en': 'Yeah, there is Matthew Goode and Tom Goodman-Hill in the movie as well.', 'hi_en': 'haan, philm mein maithyoo gode aur tom gudamain-hil bhee hain.'}"
4305,"{'en': 'How long is the movie?', 'hi_en': 'film kitanee lambee hai?'}"
4306,"{'en': ""I am not sure how long the movie is, if I had to guess I'd say 2 hours."", 'hi_en': 'mujhe yakeen nahin hai ki philm kitanee lambee hai, agar mujhe lagata hai ki mujhe 2 ghante kahana hoga.'}"
4307,"{'en': 'What year was it released originally ?', 'hi_en': 'yah mool roop se kis baras jaaree kiya gaya tha?'}"
4308,"{'en': 'It was originally released in 2014.', 'hi_en': 'yah mool roop se 2014 mein rileej huee thee.'}"
4309,"{'en': 'Did it win any awards?', 'hi_en': 'kya isane koee puraskaar jeeta?'}"
4310,"{'en': ""It doesn't mention winning any awards, however it has amazing reviews from different organizations."", 'hi_en': 'isamen kisee bhee puraskaar ko jeetane ka ullekh nahin hai, haalaanki vibhinn sangathanon se isakee adbhut sameekshaen hain.'}"
4311,"{'en': 'Can you tell me more about the reviews?', 'hi_en': 'kya aap mujhe sameekshaon ke baare mein adhik bata sakate hain?'}"
4312,"{'en': 'The film received a CinemaScore of A+ as well as a Rotten Tomatoes review of 91%.', 'hi_en': 'is film ko A+ CinemaScore mila sath hi sath 91% ka ek Rotten Tamatar review bhi.'}"
4313,"{'en': 'There are quite a few key scenes throughout the movie that are relevant  as well.', 'hi_en': 'Movie ke doran kuch key scenes bhi  he jo ki relevant he.'}"
4314,"{'en': 'Relevant to what?', 'hi_en': 'kis se relevant?'}"
4315,"{'en': 'To the story. One of them explains how the main character, Alan Turing is unhappy in his boarding school due to bullying. It is through that unhappiness that he found his interest in cryptography.', 'hi_en': 'Story se. un me  se ek explain karta he ki kese main character, Alan Turing uske boarding school me bullying ke karan unhappy he.us unhappiness ke karan voh cryptography me interest leta he.'}"
4316,"{'en': ""I 'm quite interested in the movie. Anything else you want to tell me?"", 'hi_en': 'me movie me quite interested hu.Anything else tum mujhe batana chahti ho.'}"
4317,"{'en': ""I don't want to give too much away, but there is a few points where characters are revealed as spys and release important information about the main character."", 'hi_en': 'i do not want to give too much away. lekin kuch points he jahan character spys ke roop me reveal hote he aur main character ke bare me mahatvapurn information reveal kar dete he.'}"
4318,"{'en': 'Ph, spy. i love spy.', 'hi_en': 'ph, spy. me spy se love karti hu.'}"
4319,"{'en': 'I do too. Also, there are a lot of secrets within the movie about the main character as well that are incredibly important to the story.', 'hi_en': 'me bhi karti hu.sath hi, movie me main character ke bare me bahut se secrets he sath hi ve story ke liye bahut hi important he.'}"
4320,"{'en': ""But I can't say"", 'hi_en': 'But me nahi kah sakti.'}"
4321,"{'en': 'How did it do in the box office?', 'hi_en': 'isne box office par kaisa perform  kiya.'}"
4322,"{'en': ""I don't have any specifics, but based off the reviews of the film I would say very well."", 'hi_en': 'Mere pas jada specifics to ni h, but film ke reviews ke hisab se mai khunga bhot accha.'}"
4323,"{'en': 'What else do you know about the movie?', 'hi_en': 'Tum aur kha jante ho movie ke bare mai?'}"
4324,"{'en': 'I know that it has been regarded as one of the most important stories of the last century.', 'hi_en': 'Mai janta hu ki ise one of the most important stories of the last century se nawaja gya hai'}"
4325,"{'en': 'Who is the director?', 'hi_en': 'Director kaun hai?'}"
4326,"{'en': 'There is some controversy however with the film, like some people are upset due to misrepresentation of facts and rearranging things to make a better story.', 'hi_en': 'Fir bhi film ko lekar kuch controversy hai, jaise kuch log upset hai facts ke misrepresentation aur chijo ki rearranging ko lekar jo story ko behtar bnane ke liye istemal kiya gya hai'}"
4327,"{'en': 'The director was Morten Tyldum.', 'hi_en': 'director Morten Tyldum the.'}"
4328,"{'en': 'Is it because the lead character is gay?', 'hi_en': 'Kya ye isliye kyuki lead character gay hai?'}"
4329,"{'en': ""I don't know if it has to due with him being gay, more so the order at which events were revealed misrepresented the work that Turning did at Bletchley Park."", 'hi_en': 'Mujhe nhi pta ki yadi ye gay hone ki wajeh se hai,adhik to yah ki jis kram mein events ko reveal kiya gya, us work ko misrepresent kiya gaya, jise tarning ne beletalee paark mein kiya tha'}"
4330,"{'en': ""Thanks. It's nice chatting with you."", 'hi_en': 'Thanks. Tumhare sath baat krke accha lga.'}"
4331,"{'en': 'You too!', 'hi_en': 'Tum bhi!'}"
4332,"{'en': 'hey', 'hi_en': 'hey'}"
4333,"{'en': 'hey', 'hi_en': 'hey'}"
4334,"{'en': 'Great movie huh?', 'hi_en': 'Great movie huh?'}"
4335,"{'en': ""It's alright.  Got some funny moments but its fairly forgettable"", 'hi_en': 'ye alright hai. Isme kuch funny moments hai par kafi forgettable hai.'}"
4336,"{'en': 'Really you think its forgettable?', 'hi_en': 'really tumhe lagta hai ye forgettable hai?'}"
4337,"{'en': ""Yeah.  I mean it's got a decent cast, but i've actually watched it a couple of times and I don't remember a whole lot about it"", 'hi_en': 'haan, mera matlab isme decent cast hai, par maine ye couple of times dekhi hai aur main kuch zyada iske baare mein remember nahi kar raha'}"
4338,"{'en': ""I think this is another one of Leo's movies that put him on the map"", 'hi_en': 'mujhe lagta hai ye ek aur Leo movie hai jo usey map pe daalti hai'}"
4339,"{'en': 'I dont know maybe im just bias cause I love all his movies', 'hi_en': 'mujhe nahi pata shayad main bas bias hun kyunki main uski movies love karta hun'}"
4340,"{'en': ""I don't really follow the actors very much.  I'm far more interested in the characters they portray."", 'hi_en': 'main actors ko kafi zyada follow nahi karta. main jo chracters portray karte hain usme zyada interested hun'}"
4341,"{'en': 'eh, fair enough', 'hi_en': 'eh, fair enough'}"
4342,"{'en': 'Well you have Leonardo Dicaprio he plays the protagonist who is a fraud and takes up all kinds of random jobs. He has no experience at all but is just a great con. Then you have Tom Hanks who plays as a FBI agent and he is tracking down Leo.', 'hi_en': 'tho Leonardo dicaprio jo protagonist ka role play kar raha tha voh tho fraud nikla aur voh sabhi ka random jobs tho steal kar raha tha.. uske paas tho koi experience hi nahi thi.. fir Tom hanks ne FBI agent ka role play kiya aur ab LEO ko tracking down kar raha hein'}"
4343,"{'en': 'yeah  dicaprio does a decent job with a less than memorable script, but ive never been really interested in biographical movies', 'hi_en': 'haan discaprio tho decent job mein they, jo apni script memorable bana detha, lekin biographical movies kabhi interesting nahi rehatha'}"
4344,"{'en': 'So you did not like The Wolf of Wall Street?', 'hi_en': 'tho aap ko The wolf of wall street ko pasand nahi aathe hogi?'}"
4345,"{'en': ""never saw that one, so i can't say"", 'hi_en': 'kabhi dekha hi nahi, tho kuch bol nahi saktha'}"
4346,"{'en': 'That was Biographic', 'hi_en': 'voh tho biographic hein'}"
4347,"{'en': ""Wasn't directed by spielberg tho it was directed by Martin Scorsese  "", 'hi_en': 'acha tho spielberg nei nahi directed kiya kya? voh tho martin scorsese ka direction tha'}"
4348,"{'en': ""like i said, im not really interested in them.  if i wanted to learn about a person's life, i'd do actual research since movies tend to exagerate"", 'hi_en': 'so meine kaha ki voh itna bhi interesting nahi hei yar.. agar aapko koi person ka life se learn karna chahiye tho research karo aur movies ko exagerate karo'}"
4349,"{'en': 'Yea true but its all entertainment and from watching the film you learn of these people they are portraying and it strikes interest for you to do your own research after.', 'hi_en': 'haan sach me yar, lekin sabhi entertainment aur film watch karne se kaafi logo to sikh mil jaathe aur vo apne aap ko portray karte..lekin research kare tho ache rehega'}"
4350,"{'en': ""well wall street isn't anywhere near my area of interest so even if i watched it i doubt i'd do anything further"", 'hi_en': 'acha tho Wall street tho mera area of interest nahi hey, tho bhi mein watch karunga..'}"
4351,"{'en': 'eh', 'hi_en': 'eh'}"
4352,"{'en': 'its personal preferenece', 'hi_en': 'yeh  mera personal preference hein'}"
4353,"{'en': 'Sounds like your more into Documentary?  ', 'hi_en': 'documentary ke tarah sound kartha, nahi?'}"
4354,"{'en': 'it depends on the topic.  animals yes, history yes, Modern Marvels not so much', 'hi_en': 'topic ke depend hein... animal, history , mordern marvels ke tarah thoda'}"
4355,"{'en': 'I like all kinds of things from all different movie genres, Memories, Docs and even Cartoons like Family Guy and even Anime.', 'hi_en': 'muje aise different movies genres,  memories, docs aur cartoon ko pasand hein jaise family guy aur anime bhi'}"
4356,"{'en': 'ditto, but it has to really pique my interest.  although i find family guy and other similar TV shows offensive, so i avoid them like the plague', 'hi_en': 'ditto, lekin muje pique mein really interest hein.. although mein family guy hoon muje tv shows offensive hoon.. aur mein plague se avoid kartha'}"
4357,"{'en': 'You know there meant to be funny but in a good way there all satire. It is the same thing if you watch Stand up comedians.  ', 'hi_en': 'voh tho funny ke liye hein, lekin ache satire hein.. agar aap standup comedians pasand hein tho aap dekh sakthe'}"
4358,"{'en': ""i understand that its satire, but i still think they take it too far.  so i don't watch it.  i don't blast people who do, but i just try to avoid them"", 'hi_en': 'muej satire understand hein, lekin still muje sochne padtha.. mein nahi dekhta.. muej people ke saath blast karna pasand nahi lekin mein avoid karth'}"
4359,"{'en': ""Stand up comics like Dave Chappelle and shows like Family Guy and South park are a good thing. Yea they make fun of serious topics but it is needed in today's society of cry babies. It brings people from all Cultures Race and and backgrounds together for a good laugh."", 'hi_en': 'dave chappelle ke tarah standup comics aur shows ke tarah family guy aur south park tho badiya thing hein..voh fun serious topics ko made karthe, aajkal ke crying babies ke liye tho yeh chahiye... isse people ko cultures race aur background donon ache aathe aur ache laugh bhi karthe'}"
4360,"{'en': 'to each their own', 'hi_en': 'apne aap ko'}"
4361,"{'en': 'How does the Requester for this hit expect us to talk about one movie this long?', 'hi_en': 'kaise is requester ko itna expect hamare paas hein jo yek movie ke baare mein itna lamba talk?'}"
4362,"{'en': 'no idea', 'hi_en': 'no idea'}"
4363,"{'en': 'Hello', 'hi_en': 'namaste'}"
4364,"{'en': 'hi', 'hi_en': 'hi'}"
4365,"{'en': 'The imitation game is a great movie', 'hi_en': 'imitation game bahoot aachi movie hai'}"
4366,"{'en': 'Hey so what’s this movie called', 'hi_en': 'movie ka naam kya hai'}"
4367,"{'en': 'hello', 'hi_en': 'hello'}"
4368,"{'en': 'have you watch home alone', 'hi_en': 'kya tumne home alone dekhi hai'}"
4369,"{'en': 'you like it', 'hi_en': 'tumhe achi lagi'}"
4370,"{'en': 'nivce movie', 'hi_en': 'achi movie'}"
4371,"{'en': 'Director: Chris Columbus', 'hi_en': 'Director: Chris Columbus'}"
4372,"{'en': 'action movie', 'hi_en': 'Action film'}"
4373,"{'en': ""When bratty 8-year-old Kevin McCallister (Macaulay Culkin) acts out the night before a family trip to Paris, his mother (Catherine O'Hara) makes him sleep in the attic."", 'hi_en': ""Jab badmaash 8 saal ke Kevin McCallister (Macaulay Culkin) ne Paris ke liye family trip par nikalne se pichli raat ko shaitaani ki toh uski maa (Catherine O'Hara) ne usse attic mein sone ko kaha""}"
4374,"{'en': 'hello', 'hi_en': 'Hello'}"
4375,"{'en': ' r u here?', 'hi_en': 'Aap yahan hai?'}"
4376,"{'en': 'the movie about the boy', 'hi_en': 'Movie ek ladke ke baare mein hai'}"
4377,"{'en': 'who left alone', 'hi_en': 'Kuan akele choot gaya'}"
4378,"{'en': 'in a homw', 'hi_en': 'Ghar mein'}"
4379,"{'en': ' The film stars Macaulay Culkin as Kevin McCallister, a boy who is mistakenly left behind when his family flies to Paris for their Christmas vacation. Kevin initially relishes being home alone', 'hi_en': 'Film mein Macaulay Culkin hai jo ki Kevin McCallister je roop mein nazar aayenge. Woh ek aisa ladka hai jo galti se ghar mein akela choot jaata jab uska saara parivaar Christmas vacation ke liye Paris ke liye nikal jaate hai. Kevin ko baad mein akele ghar mein rehna accha lagne lagta hai'}"
4380,"{'en': 'i am waiting ', 'hi_en': 'Main wait kar raha hoon'}"
4381,"{'en': ' r u here?', 'hi_en': 'Aap yahan hai?'}"
4382,"{'en': 'hello', 'hi_en': 'hello'}"
4383,"{'en': 'r u here?', 'hi_en': 'kya tum yanha ho?'}"
4384,"{'en': 'After the McCallisters mistakenly leave for the airport without Kevin, he awakens to an empty house and assumes his wish t', 'hi_en': 'mistakenly  McCallisters ke kevin ke bina airport leave karne ke baad, wo ek empty house me jaaga aur usne wo maan liya'}"
4385,"{'en': 'After the McCallisters mistakenly leave for the airport without Kevin, he awakens to an empty house and assumes his wish t', 'hi_en': 'mistakenly  McCallisters ke kevin ke bina airport leave karne ke baad, wo ek empty house me jaaga aur usne wo maan liya'}"
4386,"{'en': 'hi', 'hi_en': 'hi'}"
